condition,day,bio_rep,tech_rep,progenitors,glial
DMSO,22,5,1,0.0,0.23076923076923078
DMSO,22,5,2,0.0,0.14705882352941177
DMSO,22,5,3,0.0,0.05223880597014925
DMSO,22,5,4,0.0,0.15217391304347827
DMSO,22,5,5,0.047619047619047616,0.23809523809523808
DMSO,22,5,6,0.03508771929824561,0.14035087719298245
DMSO,22,5,7,0.02127659574468085,0.19148936170212766
DMSO,22,5,8,0.0196078431372549,0.1568627450980392
DMSO,22,5,9,0.01694915254237288,0.0847457627118644
DMSO,22,5,10,0.0,0.12121212121212122
DMSO,22,5,11,0.05,0.0875
DMSO,22,5,12,0.0,0.15789473684210525
DMSO,22,5,13,0.0916030534351145,0.05343511450381679
DMSO,22,5,14,0.013513513513513514,0.12162162162162163
DMSO,22,5,15,0.0,0.11267605633802817
DAPT,22,5,1,0.015873015873015872,0.19047619047619047
DAPT,22,5,2,0.043859649122807015,0.07017543859649122
DAPT,22,5,3,0.12,0.36
DAPT,22,5,4,0.03278688524590164,0.32786885245901637
DAPT,22,5,5,0.014705882352941176,0.19117647058823528
DAPT,22,5,6,0.0392156862745098,0.27450980392156865
DAPT,22,5,7,0.0,0.40476190476190477
DAPT,22,5,8,0.0,0.1827956989247312
DAPT,22,5,9,0.009259259259259259,0.1111111111111111
DAPT,22,5,10,0.04,0.4266666666666667
DAPT,22,5,11,0.009174311926605505,0.12844036697247707
DAPT,22,5,12,0.011764705882352941,0.1411764705882353
DAPT,22,5,13,0.023255813953488372,0.16279069767441862
DAPT,22,5,14,0.0449438202247191,0.2808988764044944
DAPT,22,5,15,0.017391304347826087,0.16521739130434782
DMSO,10,0,0,1.0,0.0
DAPT,10,0,0,1.0,0.0
