condition,day,bio_rep,tech_rep,neural
DAPT,22,4,5,0.5476190476190477
DAPT,22,4,6,0.7321428571428571
DAPT,22,4,7,0.4520547945205479
DAPT,22,4,8,0.2127659574468085
DAPT,22,4,9,0.10869565217391304
DAPT,22,4,10,0.23529411764705882
DAPT,22,4,11,0.275
DAPT,22,4,12,0.25333333333333335
DAPT,22,4,13,0.3586206896551724
DAPT,22,4,14,0.2191780821917808
DAPT,22,4,15,0.3389830508474576
DMSO,15,5,1,0.10983981693363844
DMSO,15,5,2,0.12751677852348994
DMSO,15,5,3,0.10256410256410256
DMSO,15,5,4,0.11764705882352941
DMSO,15,5,5,0.1588235294117647
DMSO,15,5,6,0.24019607843137256
DMSO,15,5,7,0.18633540372670807
DMSO,15,5,8,0.17177914110429449
DMSO,15,5,9,0.21739130434782608
DMSO,15,5,10,0.20118343195266272
DMSO,15,5,11,0.16022099447513813
DMSO,15,5,12,0.37410071942446044
DMSO,15,5,13,0.2345679012345679
DMSO,15,5,14,0.17647058823529413
DMSO,15,5,15,0.11564625850340136
DMSO,22,5,1,0.34108527131782945
DMSO,22,5,2,0.11707317073170732
DMSO,22,5,3,0.2808988764044944
DMSO,22,5,4,0.4
DMSO,22,5,5,0.4074074074074074
DMSO,22,5,6,0.3392857142857143
DMSO,22,5,7,0.8
DMSO,22,5,8,0.18670886075949367
DMSO,22,5,9,0.4270833333333333
DMSO,22,5,10,0.5714285714285714
DMSO,22,5,11,0.36363636363636365
DMSO,22,5,12,0.5769230769230769
DMSO,22,5,13,0.43333333333333335
DMSO,22,5,14,0.7297297297297297
DMSO,22,5,15,0.7142857142857143
DAPT,15,5,1,0.41509433962264153
DAPT,15,5,2,0.4965986394557823
DAPT,15,5,3,0.6875
DAPT,15,5,4,0.2198581560283688
DAPT,15,5,5,0.4953271028037383
DAPT,15,5,6,0.3220338983050847
DAPT,15,5,7,0.6117021276595744
DAPT,15,5,8,0.5362318840579711
DAPT,15,5,9,0.5390070921985816
DAPT,15,5,10,0.6785714285714286
DAPT,15,5,11,0.5253164556962026
DAPT,15,5,12,0.5970149253731343
DAPT,15,5,13,0.44171779141104295
DAPT,15,5,14,0.30275229357798167
DAPT,15,5,15,0.4294478527607362
DAPT,22,5,1,0.9166666666666666
DAPT,22,5,2,0.704225352112676
DAPT,22,5,3,0.8805970149253731
DAPT,22,5,4,0.515625
DAPT,22,5,5,0.8222222222222222
DAPT,22,5,6,0.8090909090909091
DAPT,22,5,7,0.6888888888888889
DAPT,22,5,8,0.9523809523809523
DAPT,22,5,9,0.6865671641791045
DAPT,22,5,10,0.9036144578313253
DAPT,22,5,11,0.5748031496062992
DAPT,22,5,12,0.7631578947368421
DAPT,22,5,13,0.7567567567567568
DAPT,22,5,14,0.6911764705882353
DAPT,22,5,15,0.9463087248322147
DMSO,10,0,0,0.0
DAPT,10,0,0,0.0
